West 5 Supper Club,505 Madison Street ,Hoboken,NJ,7052,Restaurant,40.743841,-74.037346
Stevens Institute of Technology,600 River Terrace,Hoboken,NJ,7030,Public Space,40.7431049,-74.0270227
Room 84,84 Washington Street,Hoboken,NJ,,Restaurant,40.736886,-74.0310992
"Supreme Court, Kings County",360 Adams Street,Brooklyn,NY,11201,Public Space,40.6938596,-73.9892283
Public Assembly,70 North 6th Street,Brooklyn,NY,11211,Restaurant,40.7190269,-73.961608
Alpha One Labs,148 Frost Street,Brooklyn,NY,11211,Event Space,40.717785,-73.945538
Forum,127 4th Avenue,New York,NY,10003,Event Space,40.7334867,-73.9898528
Columbia University Lerner Hall,2920 Broadway,New York,NY,10027,Event Space,40.807124,-73.964247
York Theatre at Saint Peter's ,619 Lexington Ave,New York,NY,10022,Event Space,40.7584633,-73.970918
Pier Sixty @ Chelsea Piers,Pier 60 - West 23rd Street,New York,NY,10011,Event Space,40.7464911,-74.001358
Heimbold Visual Arts Building Sarah Lawrence,1 Mead Way,Bronxville,NY,10803,Event Space,40.934806,-73.843344
Sarah Lawrence,1 Mead Way,Bronxville,NY,10803,Public Space,40.934806,-73.843344
Amarachi Lounge,325 Franklin Avenue,Brooklyn,NY,11238,Restaurant,40.6883177,-73.9569707
Boswick Farms,1609 DeKalb Avenue,Brooklyn,NY,11237,Event Space,40.7038639,-73.9196994
The Berkeley Carroll School,701 Caroll Street,Brooklyn,NY,11215,Public Space,40.674248,-73.977699
Regus,245 Park Ave,New York,NY,10167,Event Space,40.7546423,-73.9748948
Laser Cosmetica,18 W. 23rd Street,New York,NY,,Event Space,40.7417371,-73.9903778
Yu Café,2525 Amsterdam Ave,New York,NY,10033,Restaurant,40.850802,-73.928767
Hudson Manor at LaQuinta Inn & Suites,350 Lighting Way,Secaucus,NJ,7094,Conference Center,40.7906727,-74.0496424
Kirkland & Ellis LLP,601 Lexington Avenue,New York,NY,10022,Event Space,40.7587744,-73.9707531
Stage 6 at Steiner Studios,15 Washington Avenue,Brooklyn,NY,11205,Event Space,40.6980502,-73.968244
Kramer Levin Naftalis & Frankel LLP,1177 Avenue of the Americas,New York,NY,10036,Event Space,40.757235,-73.982881
Museum of Jewish Heritage,36 Battery Place,New York,NY,10280,Public Space,40.7061926,-74.0179682
Mt Aery Baptist Church,73 Frank Street,Bridgeport,CT,6604,Event Space,41.1879007,-73.1961435
Tammany Hall,152 Orchard Street,New York,NY,10002,Restaurant,40.7207366,-73.9887598
Johnny Utah's,25 West 51st Street,New York,NY,10019,Restaurant,40.760372,-73.979525
Wesport Public Library,20 Jesup Road,Wesport ,CT,6880,Public Space,41.140759,-73.3615766
Greenhouse NY,150 Varick Street ,New York,NY,,Event Space,40.726008,-74.00532
The Jewish Center,131 West 86th Street,New York,NY,10024,Event Space,40.7871387,-73.9732945
New York Hilton,1335 Ave of the Americas,New York,NY,10019,Conference Center,40.762583,-73.980029
Melville Marriott Long Island, 1350 Old Walt Whitman Road,Melville,NY,11747,Conference Center,40.7837094,-73.4218373
Hotel Pennsylvania,"401 7th Street Penntop Ballroom, 18th floor",New York,NY,10001,Conference Center,40.7515907,-74.0044326
Corporate Office,35 Glover Avenue,Norwalk,CT,6851,Event Space,41.1443484,-73.4281162
The School of Visual Arts,333 West 23rd Street,New York,NY,,Public Space,40.745927,-73.999747
Mac & Milk Studios,450 West 15th Street,New York ,NY,10011,Event Space,40.742282,-74.00631
The Phenomenal DWYER CULTURAL CENTER,258 ST. NICHOLAS AVE ,New York,NY,,Event Space,40.8091529,-73.9529821
 Sarah Lawrence College Reisinger Concert Hall,1 Mead Way,Bronxville,NY,,Event Space,40.934806,-73.843344
BACCA Arts Center Theatre,149 North Wellwood Avenue,Lindenhurst,NY,11757,Public Space,40.687719,-73.374912
Omni New Haven Hotel at Yale,155 Temple Street,New Haven,NY,6510,Conference Center,41.3057728,-72.9274244
NYC REACH Office,161 William Street,New York,NY,,Event Space,40.7100325,-74.0059391
New York Law School,185 West Broadway,New York,NY,,Public Space,40.718071,-74.007007
Empire Hotel,44 West 63rd Street,New York,NY,,Conference Center,40.771296,-73.982095
OpenSky HQ,18 West 18th Street.,New York,NY,,Event Space,40.7390414,-73.9932407
"Sheraton Hotel, Newark Airport",128 Frontage Road,Newark,NJ,7114,Conference Center,40.7117064,-74.1595007
"Doubletree Hotel Hudson Ballroom, 6th Fl",1568 Broadway,New York,NY,10036,Conference Center,40.7591043,-73.9846158
Rutgers University ,118 Frelinghuysen Road,Piscataway,NJ,8854,Public Space,40.5229339,-74.4674334
Dave and Buster's Special Events Center,261 Airport Plaza,Farmingdale,NY,11735,Event Space,40.7373049,-73.4195549
Highline Ballroom,437 West 16th Street,New York,NY,10011,Event Space,40.7429706,-74.0060011
Digital Sandbox,55 Broad Street 4th floor,New York,NY,,Event Space,40.7051214,-74.0114934
The Prince George Ballroom,15 East 27th Street,New York,NY,,Event Space,40.7436013,-73.9866029
ShipWreck,120-06 Rockaway Blvd,South Ozone Park,NY,11420,Restaurant,40.6758503,-73.817474
"Pfizer Auditorium, Dibner Building",5 Metro-tech Center,Brooklyn,NY,11201,Conference Center,40.707581,-74.013781
Club H Fitness,423 W 55th Street,New York ,NY,,Event Space,40.767187,-73.9877525
NYU Stern Business School Kaufman Management Center,44 W. 4th Street,New York,NY,10012,Event Space,40.7290941,-73.9959767
Speedway School,701 South Orange Avenue,Newark,NJ,7106,Public Space,40.7450878,-74.2178851
Haworth showroom,125 Park Avenue Second Floor,New York ,NY,10017,Event Space,40.7820083,-73.9487295
